dbn,username,borough,grade_level,enrollment,comment,likes,dislikes,replies,post_date,fam_comm_ties,pct_ell,pct_disabilities,pct_self_contained,economic_need_index,pct_temp_housing,pct_hra_eligible,pct_asian,pct_black,pct_hispanic,pct_white,pct_chronic_absent
15K261,Linda Holmes,brooklyn,Elementary,758,"I'm a parent of a 4th grader and I love this school.  PS261 is a very diverse school that has paid attention to social justice and emotional learning.  We have an amazing group of parents who have organized regular events for the children and I am often surprised to see the amazing things they are doing.  Yearly march to Boro Hall, with study of the civil right movements incorporated.  Arts week, with teaching artists brought in.  We have a beautiful garden and gardeners brought in to teach the children.  The after-school puts on an incredible musical as well as offering a wide variety of classes that my son loves.  Special shout-out to Ms. Khadiga, the science teacher, who has been a real mentor to my kid.  
Every time I'm in the school (not as often as when he was younger), I'm always impressed with the energy and smiles from everyone - teachers, kids, administration, school security, after-school counselors.  By no means is this school perfect, but I'm so glad I made this choice for my son.",0,0,0,2018-06-15T14:54:09,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,newslink,brooklyn,Elementary,758,"The <a href=""http://www.brooklyneagle.com/articles/2018/1/12/impassioned-celebration-ps-261-students-fill-steps-borough-hall-dr-king-rally/"">Brooklyn Eagle</a> reports on PS 261's recent march to honor and celebrate Dr. Martin Luther King Jr., during which students made speeches that included his messages and principles.",0,0,0,2018-04-17T15:35:57,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,Insideschools,brooklyn,Elementary,758,"A mother writes about her choice to send her biracial son to PS 261, a racially mixed school, rather than to her neighborhood school, on <a href=""http://www.wnyc.org/story/choosing-a-school-for-your-kid-when-race-main-concern/"">SchoolBook</a>.",0,0,0,2016-06-09T16:18:35,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,PHMom,brooklyn,Elementary,758,"My son has had a wonderful year at PS 261. His teachers are kind, talented, hard working, and go above and beyond to provide the children with a fun, dynamic, and developmentally-appropriate learning environment. He has learned so much this year, and had fun doing it. Teachers actively seek out parent involvement. The parent community is likewise active, engaged, and friendly. I've also been very impressed with the students. The older kids generously accept the younger kids into their play, and really look out for them (on the playard after school). I think the school deserves at least some of the credit for the friendly, accepting students, since they emphasize social- emotional development along with academics. The joyful, controlled chaos on the beautiful playard after school is as close as my city kid will get to the free-range, kid-centric, suburban youth I experienced.",0,0,0,2016-05-01T18:19:57,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,Brooklyn Momma,brooklyn,Elementary,758,"There are so many reasons why our family loves 261 and feels so thankful our daughter (currently in 2nd grade) can enjoy her elementary school years here. From Principal Mills to all of her teachers (classroom, science, music, art, arabic, gym, dance...), classmates and parents, we're having a superb experience.  My daughter is excited to go to school EVERY day and my husband and I look forward to all the meaningful classroom involvement we get to experience. Cannot say enough great things about this school and community.  Our most treasured blessing is flourishing here.",1,0,0,2015-12-03T13:18:28,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,Claire Unabia,brooklyn,Elementary,758,"We love ps261. It is a very vibrant, tight knit, welcoming, super-diverse and involved community there.  You feel it as soon as you come in.  The commitment to the arts is very strong.  The arts committee funds specific arts enrichment for every grade which includes artist residencies, field trips and arts assemblies.   The principal is very open to parent, teacher suggestions and works harder than anyone. We have many amazing teachers and staff.  There are a few not so great teachers but not many.  Being one of the most truly diverse schools I have seen there can be some behavior problems from some kids that can interrupt the wonderful environment of the school.  But other than that we love everything. I don't find the teaching to be non traditional.  ",1,0,0,2015-10-28T10:54:18,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,curious,brooklyn,Elementary,758,"""Being one of the most truly diverse schools I have seen there can be some behavior problems from some kids that can interrupt the wonderful environment of the school."" 

Please elaborate, because your comment comes off as prejudiced.",3,0,1,2015-11-06T17:52:28,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,cobblehillparent,brooklyn,Elementary,758,"Our son started kindergarten at 261 this fall.  Thus far he loves going to school, and we are mostly happy.  My concern is with the curriculum.  It seems that he is learning a lot of the same things he did last year in Pre - K (not 261. private).  Aside from the art program, do you feel like there is a strong emphasis on reading, math, science, going forward into 1st, 2nd, etc. grade?",0,0,1,2015-11-06T15:57:11,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,CarterSpurrier,brooklyn,Elementary,758,"Hi, I'm a parent of a boy in K and we did not go to Pre-K here and I noticed a similar thing but in fact I like it. Often I feel like kids are pushed ""academically"" too quickly at the cost of developing other more age appropriate skills like curiosity, playing, exploring and fully understanding themselves as social creatures. A lot of research has recently been done shedding light on the fact that pushing kids too early in academics can be damaging in that it can lead to resentment and frustration with school--so its better to let the kids develop these skills through exploration in their own time I think. This is what I see happening at 261 as least at the K level, I mean they are only babies still in many ways. Having said that there are some kids in his class writing full sentences etc and I think they are equally challenged and supported as the kids still growing these skills. Conceptually, the bar is high at 261 especially in Social Studies and math--for me this is very important and seeing my child enjoy his new found ""super powers"" and growing new interests is more rewarding then knowing he can memorize 50 ""at"" words in a week, which is the type of stuff he was doing at his ""academically rigorous"" pre-K.",0,0,2,2017-01-31T00:42:17,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
15K261,Guest,brooklyn,Elementary,758,,0,0,0,2015-06-19T19:29:42,1.0,0.045,0.198,0.012,0.889,0.051,0.285,0.077,0.203,0.195,0.47100000000000003,0.147
